seller_id,nama_seller,kontak,domisili
1,Sabar Novitasari,+62 (0973) 137-2376,Banjarbaru
2,Rendy Nasyidah,+62 (429) 109 3643,Tanjungbalai
3,Dr. Paiman Purnawati,(046) 335 2173,Jayapura
4,Luhung Rajata,+62 (000) 487-6579,Kendari
5,Enteng Wasita,+62 (0061) 281 4503,Pangkalpinang
6,Panca Widiastuti,+62-986-039-1300,Gorontalo
7,Gadang Haryanti,+62 (204) 771 2464,Kota Administrasi Jakarta Selatan
8,"R.A. Belinda Jailani, M.Pd",+62 (274) 437 6424,Tual
9,"drg. Pangeran Kusumo, M.Ak",+62-481-141-1979,Padangpanjang
10,Tirtayasa Marpaung,+62-0970-214-1639,Payakumbuh
11,"Rahmi Dabukke, M.Ak",+62-045-073-7778,Salatiga
12,"Dt. Saiful Najmudin, M.M.",+62 (0309) 215-7017,Payakumbuh
13,"R. Capa Maheswara, M.M.",(037) 374 7056,Mataram
14,Luis Kuswoyo,086 592 7147,Semarang
15,"Cut Cornelia Prakasa, S.Pt",+62-736-978-0252,Jambi
16,Fitria Kuswandari,+62 (07) 371-6238,Metro
17,Elisa Samosir,(0527) 065-4183,Tangerang
18,Galih Mardhiyah,+62-33-369-7919,Surakarta
19,R. Gara Thamrin,+62 (90) 005 2141,Pematangsiantar
20,"Sutan Asmuni Thamrin, M.Ak",(072) 123-5196,Pekalongan
21,Marsudi Anggriawan,+62-634-557-7728,Ternate
22,"Hj. Vera Ramadan, M.Ak",+62-442-556-5360,Banjarmasin
23,Dalimin Wahyudin,+62 (46) 986 2872,Surakarta
24,Jasmin Saefullah,+62 (044) 116-3320,Bau-Bau
25,Marsudi Widiastuti,+62-545-529-0785,Samarinda
26,Paulin Permata,(0187) 151-5741,Subulussalam
27,Yunita Namaga,+62 (464) 404 5469,Banjarmasin
28,"Galuh Zulaika, S.E.",+62 (069) 707 4542,Ambon
29,Kania Hasanah,+62 (294) 273-2994,Mataram
30,Bahuraksa Pranowo,+62 (0781) 210-7766,Medan
31,Hendra Hakim,+62 (089) 007-1681,Ternate
32,Estiawan Puspita,+62 (076) 372 4714,Binjai
33,Gada Mahendra,(0793) 082 6331,Kendari
34,"Jabal Kusmawati, S.H.",(088) 393-6445,Banda Aceh
35,Maras Wijaya,+62 (50) 384 8270,Banda Aceh
36,Hardi Suartini,+62-69-975-3600,Kota Administrasi Jakarta Pusat
37,Bakijan Puspita,+62 (81) 820-9241,Palu
38,"drg. Rahayu Mustofa, S.H.",(0115) 243 9159,Metro
39,Tami Waskita,+62-901-419-3298,Palu
40,Kala Marbun,+62 (317) 490-3080,Banjar
41,Galuh Wibowo,+62 (0744) 285-0061,Banjarbaru
42,Carla Utama,(0096) 041-2543,Probolinggo
43,"Dt. Hartaka Nugroho, M.Kom.",+62-017-935-6748,Jambi
44,dr. Putri Iswahyudi,+62-0599-970-8831,Probolinggo
45,Ivan Prayoga,+62-83-664-7190,Kota Administrasi Jakarta Pusat
46,"Dt. Reza Kuswoyo, S.Pt",086 055 1893,Palembang
47,Novi Pratama,+62 (50) 939-6120,Tangerang
48,"Dr. Zahra Purwanti, M.Pd",+62-069-403-3929,Banjarbaru
49,Budi Haryanto,+62 (083) 184-0774,Banda Aceh
