"user_id","nama","kontak","domisili"
"1","Dr. Zahra Pangestu, M.Farm","+62-26-718-2823","Meulaboh"
"2","Enteng Megantara","082 100 8295","Malang"
"3","Ir. Janet Hutapea, M.TI.","0818879916","Tangerang"
"4","Hadi Zulaika","+62 (660) 463-4185","Bandung"
"5","Gabriella Simbolon, M.TI.","(027) 606-4287","Subulussalam"
"6","drg. Dalima Tarihoran","+62 (038) 748-3745","Yogyakarta"
"7","Darmanto Tampubolon","+62 (098) 305-3188","Tebingtinggi"
"8","Sutan Lukita Kuswandari, M.M.","(002) 548 9831","Dumai"
"9","R.M. Galur Waluyo, S.Sos","(0409) 117-3663","Payakumbuh"
"10","Amelia Pradipta","+62 (019) 273-5343","Medan"
"11","Yulia Sihotang","(012) 358-7348","Banda Aceh"
"12","Hadi Suryatmi","+62 (67) 376 3783","Palopo"
"13","Respati Suartini, M.Kom.","+62 (488) 560-9940","Singkawang"
"14","Rika Hassanah, S.Pt","+62 (74) 352 1392","Sungai Penuh"
"15","Heru Maheswara","(0950) 616 4594","Pariaman"
"16","Uda Purnawati","+62 (0159) 502 4336","Padang"
"17","Naradi Yulianti, S.Farm","+62-84-645-4438","Bima"
"18","Hj. Puti Sitompul, S.Gz","088 286 2432","Tomohon"
"19","drg. Jane Napitupulu, S.Pd","+62-46-264-8476","Surabaya"
"20","Kamal Simbolon, S.Sos","+62 (86) 771 3623","Tomohon"
"21","Legawa Riyanti","085 735 6254","Banjarmasin"
"22","Drs. Ella Kuswoyo, S.E.","+62 (0689) 064-2184","Kupang"
"23","Hj. Irma Sihombing, S.Farm","+62 (58) 482 3046","Samarinda"
"24","Caket Habibi","0836521927","Lhokseumawe"
"25","dr. Cornelia Usamah, S.E.","+62 (64) 140 0755","Tomohon"
"26","Cakrawangsa Yolanda","+62-72-218-0894","Surabaya"
"27","Raisa Laksmiwati","+62 (42) 387 5444","Pekanbaru"
"28","Drs. Vicky Rajata, S.Farm","(0736) 209-0566","Sibolga"
"29","Cakrawangsa Pranowo","+62-044-220-4169","Makassar"
"30","Cahya Anggraini","+62 (0301) 219-2771","Batu"
"31","Hj. Hesti Putra, S.Gz","+62-803-014-9463","Kota Administrasi Jakarta Barat"
"32","Darijan Sinaga","+62 (035) 182 1107","Tanjungbalai"
"33","R.A. Paramita Suartini, S.H.","+62-065-559-7243","Langsa"
"34","Unjani Kuswoyo","+62 (004) 382-0044","Parepare"
"35","drg. Pranata Winarno, S.Pd","(0714) 856 2521","Pagaralam"
"36","Hj. Kartika Narpati","(0560) 867-8991","Jayapura"
"37","Victoria Haryanti","+62 (168) 830 2850","Solok"
"38","Imam Zulaika, S.H.","+62-774-967-2394","Semarang"
"39","Dt. Aslijan Haryanti","+62 (67) 402 4947","Bengkulu"
"40","Ir. Karimah Haryanti, S.Psi","+62-094-616-4297","Batu"
"41","Mahdi Purnawati","0885740083","Mataram"
"42","Ulya Laksmiwati","+62 (013) 179 7285","Pangkalpinang"
"43","Hendra Namaga","+62 (0840) 282 1871","Depok"
"44","drg. Faizah Padmasari, M.Pd","+62-022-567-2830","Kota Administrasi Jakarta Barat"
"45","Ir. Viktor Hutapea","+62 (83) 513-9796","Tanjungbalai"
"46","Ibrahim Wacana","+62-64-190-3371","Cilegon"
"47","KH. Cengkal Laksita, M.M.","(0983) 106 9731","Pekanbaru"
"48","Maya Suwarno","+62 (0950) 819-2105","Banjarmasin"
"49","Dadi Palastri","+62 (782) 663 7584","Singkawang"
"50","Ganda Rahayu","+62 (991) 013-3880","Mojokerto"
"51","Cornelia Aryani","(021) 619 3398","Tebingtinggi"
"52","Wadi Mangunsong","+62 (287) 688-1437","Sawahlunto"
"53","Puti Suci Riyanti, S.Farm","+62-42-560-2702","Palangkaraya"
"54","Sutan Baktianto Maheswara, S.Psi","+62 (337) 815-7728","Tasikmalaya"
"55","Bakidin Natsir","+62-79-315-8389","Metro"
"56","Dr. Raina Sitorus, M.Ak","(0412) 952 0198","Jayapura"
"57","Sakti Pranowo","+62 (91) 659 8373","Tebingtinggi"
"58","R.A. Zalindra Wacana, S.T.","083 274 9125","Manado"
"59","Malik Padmasari","+62-074-929-7184","Tangerang Selatan"
